epoch,step,train/acc,train/loss_epoch,val/acc,val/loss,val_calib/loss,val_select/acc,val_select/loss
0,8,,,0.46000000834465027,0.7976481914520264,0.7582557201385498,0.46000000834465027,0.7976481914520264
0,8,0.4444444477558136,0.813681960105896,,,,,
