threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.3737,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.3838,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.3939,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4040,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4141,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4242,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4343,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4444,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4545,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4646,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4747,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4848,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.4949,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5051,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5152,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5253,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5354,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5455,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5556,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5657,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5758,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5859,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.5960,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6061,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6162,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6263,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6364,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6465,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6566,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6667,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6768,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6869,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.6970,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.7071,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.7172,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.7273,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.7374,0.5400,0.9700,0.0189,0.0426,0.9811,0.9574,0.2272,0.3033,52,45,2,1,0.5361,0.9811,0.6933,54,100
0.7475,0.5400,0.9100,0.0755,0.1064,0.9245,0.8936,0.2272,0.3033,49,42,5,4,0.5385,0.9245,0.6806,54,100
0.7576,0.5900,0.7600,0.1698,0.3191,0.8302,0.6809,0.1772,0.3033,44,32,15,9,0.5789,0.8302,0.6822,59,100
0.7677,0.5500,0.4800,0.4717,0.5745,0.5283,0.4255,0.2172,0.3033,28,20,27,25,0.5833,0.5283,0.5545,55,100
0.7778,0.5400,0.2300,0.7170,0.8298,0.2830,0.1702,0.2272,0.3033,15,8,39,38,0.6522,0.2830,0.3947,54,100
0.7879,0.4900,0.1000,0.8868,0.9149,0.1132,0.0851,0.2772,0.3033,6,4,43,47,0.6000,0.1132,0.1905,49,100
0.7980,0.4500,0.0200,1.0000,0.9574,0.0000,0.0426,0.3172,0.3033,0,2,45,53,0.0000,0.0000,0.0000,45,100
