threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.0000,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0101,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0202,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0303,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0404,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0505,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0606,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0707,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0808,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.0909,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1010,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1111,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1212,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1313,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1414,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1515,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1616,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1717,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1818,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.1919,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2020,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2121,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2222,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2323,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2424,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2525,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2626,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2727,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2828,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.2929,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.3030,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
0.3131,0.4300,1.0000,0.0000,0.0000,1.0000,1.0000,0.1065,0.2480,43,57,0,0,0.4300,1.0000,0.6014,43,100
