threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.0000,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0101,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0202,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0303,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0404,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0505,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0606,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0707,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0808,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.0909,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1010,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1111,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1212,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1313,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1414,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1515,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1616,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1717,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1818,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.1919,0.5800,1.0000,0.0000,0.0000,1.0000,1.0000,0.3411,0.3602,58,42,0,0,0.5800,1.0000,0.7342,58,100
0.2020,0.5900,0.9700,0.0172,0.0476,0.9828,0.9524,0.3511,0.3602,57,40,2,1,0.5876,0.9828,0.7355,59,100
0.2121,0.5600,0.9200,0.0862,0.0714,0.9138,0.9286,0.3211,0.3602,53,39,3,5,0.5761,0.9138,0.7067,56,100
0.2222,0.5600,0.7800,0.2069,0.2381,0.7931,0.7619,0.3211,0.3602,46,32,10,12,0.5897,0.7931,0.6765,56,100
0.2323,0.5300,0.6500,0.3448,0.3571,0.6552,0.6429,0.2911,0.3602,38,27,15,20,0.5846,0.6552,0.6179,53,100
0.2424,0.5000,0.4400,0.5517,0.5714,0.4483,0.4286,0.2611,0.3602,26,18,24,32,0.5909,0.4483,0.5098,50,100
0.2525,0.4800,0.2600,0.7241,0.7619,0.2759,0.2381,0.2411,0.3602,16,10,32,42,0.6154,0.2759,0.3810,48,100
0.2626,0.4300,0.0900,0.9138,0.9048,0.0862,0.0952,0.1911,0.3602,5,4,38,53,0.5556,0.0862,0.1493,43,100
0.2727,0.4200,0.0200,0.9828,0.9762,0.0172,0.0238,0.1811,0.3602,1,1,41,57,0.5000,0.0172,0.0333,42,100
0.2828,0.4200,0.0200,0.9828,0.9762,0.0172,0.0238,0.1811,0.3602,1,1,41,57,0.5000,0.0172,0.0333,42,100
0.2929,0.4200,0.0000,1.0000,1.0000,0.0000,0.0000,0.1811,0.3602,0,0,42,58,0.0000,0.0000,0.0000,42,100
0.3030,0.4200,0.0000,1.0000,1.0000,0.0000,0.0000,0.1811,0.3602,0,0,42,58,0.0000,0.0000,0.0000,42,100
