threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.0000,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0101,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0202,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0303,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0404,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0505,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0606,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0707,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0808,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.0909,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1010,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1111,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1212,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1313,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1414,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1515,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1616,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1717,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1818,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.1919,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.2020,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.2121,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.2222,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.2323,0.5400,1.0000,0.0000,0.0000,1.0000,1.0000,0.2499,0.3087,54,46,0,0,0.5400,1.0000,0.7013,54,100
0.2424,0.5500,0.9900,0.0000,0.0217,1.0000,0.9783,0.2599,0.3087,54,45,1,0,0.5455,1.0000,0.7059,55,100
0.2525,0.5700,0.9500,0.0185,0.0870,0.9815,0.9130,0.2799,0.3087,53,42,4,1,0.5579,0.9815,0.7114,57,100
0.2626,0.6200,0.8800,0.0370,0.2174,0.9630,0.7826,0.3299,0.3087,52,36,10,2,0.5909,0.9630,0.7324,62,100
0.2727,0.5500,0.7300,0.2407,0.3043,0.7593,0.6957,0.2599,0.3087,41,32,14,13,0.5616,0.7593,0.6457,55,100
0.2828,0.5300,0.6300,0.3519,0.3913,0.6481,0.6087,0.2399,0.3087,35,28,18,19,0.5556,0.6481,0.5983,53,100
0.2929,0.5100,0.4500,0.5370,0.5652,0.4630,0.4348,0.2199,0.3087,25,20,26,29,0.5556,0.4630,0.5051,51,100
0.3030,0.5400,0.2800,0.6667,0.7826,0.3333,0.2174,0.2499,0.3087,18,10,36,36,0.6429,0.3333,0.4390,54,100
0.3131,0.4900,0.1500,0.8333,0.8696,0.1667,0.1304,0.1999,0.3087,9,6,40,45,0.6000,0.1667,0.2609,49,100
0.3232,0.4700,0.0900,0.9074,0.9130,0.0926,0.0870,0.1799,0.3087,5,4,42,49,0.5556,0.0926,0.1587,47,100
0.3333,0.4600,0.0400,0.9630,0.9565,0.0370,0.0435,0.1699,0.3087,2,2,44,52,0.5000,0.0370,0.0690,46,100
0.3434,0.4700,0.0100,0.9815,1.0000,0.0185,0.0000,0.1799,0.3087,1,0,46,53,1.0000,0.0185,0.0364,47,100
0.3535,0.4700,0.0100,0.9815,1.0000,0.0185,0.0000,0.1799,0.3087,1,0,46,53,1.0000,0.0185,0.0364,47,100
0.3636,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.3737,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.3838,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.3939,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4040,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4141,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4242,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4343,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4444,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4545,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4646,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4747,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4848,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.4949,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5051,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5152,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5253,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5354,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5455,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5556,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5657,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5758,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5859,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.5960,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.6061,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.6162,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.6263,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.6364,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.6465,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
0.6566,0.4600,0.0000,1.0000,1.0000,0.0000,0.0000,0.1699,0.3087,0,0,46,54,0.0000,0.0000,0.0000,46,100
