threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.0000,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0101,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0202,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0303,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0404,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0505,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0606,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0707,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0808,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0909,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1010,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1111,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1212,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1313,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1414,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1515,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1616,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1717,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1818,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1919,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2020,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2121,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2222,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2323,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2424,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2525,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2626,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2727,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2828,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.2929,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3030,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3131,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3232,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3333,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3434,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3535,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3636,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3737,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3838,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.3939,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4040,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4141,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4242,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4343,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4444,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4545,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4646,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4747,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4848,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.4949,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.5051,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.5152,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.5253,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.5354,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.5455,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.5556,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.1365,0.2691,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.5657,0.4600,0.9800,0.0417,0.0000,0.9583,1.0000,0.1565,0.2691,46,52,0,2,0.4694,0.9583,0.6301,46,100
0.5758,0.4400,0.9600,0.0833,0.0000,0.9167,1.0000,0.1765,0.2691,44,52,0,4,0.4583,0.9167,0.6111,44,100
