threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.0000,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0101,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0202,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0303,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0404,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0505,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0606,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0707,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0808,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.0909,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1010,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1111,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1212,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1313,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1414,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
0.1515,0.4800,1.0000,0.0000,0.0000,1.0000,1.0000,0.2828,0.3295,48,52,0,0,0.4800,1.0000,0.6486,48,100
